"","DATE","CAMERA.ID","ADDRESS","VIOLATIONS","LATITUDE","LONGITUDE","LOCATION","date","count"
"200","07/03/2014","CHI019","2917 W ROOSEVELT",58,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-03,1
"220","07/03/2014","CHI045","445 W 127TH",32,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-03,1
"282","07/04/2014","CHI003","4124 W FOSTER AVE",144,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-04,1
"284","07/04/2014","CHI005","2080 W PERSHING",25,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-04,1
"286","07/04/2014","CHI008","3655 W JACKSON",30,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-04,1
"290","07/04/2014","CHI013","5330 S COTTAGE GROVE",52,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-04,1
"294","07/04/2014","CHI019","2917 W ROOSEVELT",38,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-04,1
"303","07/04/2014","CHI045","445 W 127TH",9,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-04,1
"344","07/05/2014","CHI003","4124 W FOSTER AVE",158,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-05,1
"346","07/05/2014","CHI005","2080 W PERSHING",25,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-05,1
"348","07/05/2014","CHI008","3655 W JACKSON",28,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-05,1
"352","07/05/2014","CHI013","5330 S COTTAGE GROVE",92,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-05,1
"356","07/05/2014","CHI019","2917 W ROOSEVELT",35,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-05,1
"365","07/05/2014","CHI045","445 W 127TH",217,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-05,1
"407","07/06/2014","CHI003","4124 W FOSTER AVE",171,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-06,1
"409","07/06/2014","CHI005","2080 W PERSHING",26,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-06,1
"411","07/06/2014","CHI008","3655 W JACKSON",15,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-06,1
"415","07/06/2014","CHI013","5330 S COTTAGE GROVE",79,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-06,1
"418","07/06/2014","CHI019","2917 W ROOSEVELT",56,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-06,1
"427","07/06/2014","CHI045","445 W 127TH",231,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-06,1
"467","07/07/2014","CHI003","4124 W FOSTER AVE",116,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-07,1
"469","07/07/2014","CHI005","2080 W PERSHING",61,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-07,1
"471","07/07/2014","CHI008","3655 W JACKSON",18,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-07,1
"475","07/07/2014","CHI013","5330 S COTTAGE GROVE",61,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-07,1
"479","07/07/2014","CHI019","2917 W ROOSEVELT",31,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-07,1
"499","07/07/2014","CHI045","445 W 127TH",216,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-07,1
"564","07/08/2014","CHI003","4124 W FOSTER AVE",73,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-08,1
"566","07/08/2014","CHI005","2080 W PERSHING",62,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-08,1
"568","07/08/2014","CHI008","3655 W JACKSON",25,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-08,1
"572","07/08/2014","CHI013","5330 S COTTAGE GROVE",63,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-08,1
"576","07/08/2014","CHI019","2917 W ROOSEVELT",52,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-08,1
"596","07/08/2014","CHI045","445 W 127TH",181,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-08,1
"662","07/09/2014","CHI003","4124 W FOSTER AVE",126,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-09,1
"664","07/09/2014","CHI005","2080 W PERSHING",39,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-09,1
"666","07/09/2014","CHI008","3655 W JACKSON",24,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-09,1
"670","07/09/2014","CHI013","5330 S COTTAGE GROVE",73,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-09,1
"674","07/09/2014","CHI019","2917 W ROOSEVELT",34,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-09,1
"694","07/09/2014","CHI045","445 W 127TH",160,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-09,1
"759","07/10/2014","CHI003","4124 W FOSTER AVE",119,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-10,1
"761","07/10/2014","CHI005","2080 W PERSHING",46,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-10,1
"763","07/10/2014","CHI008","3655 W JACKSON",14,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-10,1
"767","07/10/2014","CHI013","5330 S COTTAGE GROVE",67,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-10,1
"771","07/10/2014","CHI019","2917 W ROOSEVELT",69,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-10,1
"856","07/11/2014","CHI003","4124 W FOSTER AVE",115,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-11,1
"858","07/11/2014","CHI005","2080 W PERSHING",52,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-11,1
"860","07/11/2014","CHI008","3655 W JACKSON",21,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-11,1
"864","07/11/2014","CHI013","5330 S COTTAGE GROVE",52,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-11,1
"868","07/11/2014","CHI019","2917 W ROOSEVELT",41,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-11,1
"882","07/11/2014","CHI045","445 W 127TH",190,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-11,1
"939","07/12/2014","CHI003","4124 W FOSTER AVE",132,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-12,1
"941","07/12/2014","CHI005","2080 W PERSHING",33,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-12,1
"943","07/12/2014","CHI008","3655 W JACKSON",11,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-12,1
"947","07/12/2014","CHI013","5330 S COTTAGE GROVE",37,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-12,1
"951","07/12/2014","CHI019","2917 W ROOSEVELT",34,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-12,1
"960","07/12/2014","CHI045","445 W 127TH",187,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-12,1
"998","07/13/2014","CHI003","4124 W FOSTER AVE",139,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-13,1
"1000","07/13/2014","CHI005","2080 W PERSHING",39,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-13,1
"1002","07/13/2014","CHI008","3655 W JACKSON",18,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-13,1
"1006","07/13/2014","CHI013","5330 S COTTAGE GROVE",52,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-13,1
"1010","07/13/2014","CHI019","2917 W ROOSEVELT",41,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-13,1
"1019","07/13/2014","CHI045","445 W 127TH",249,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-13,1
"1060","07/14/2014","CHI003","4124 W FOSTER AVE",96,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-14,1
"1062","07/14/2014","CHI005","2080 W PERSHING",74,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-14,1
"1064","07/14/2014","CHI008","3655 W JACKSON",28,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-14,1
"1068","07/14/2014","CHI013","5330 S COTTAGE GROVE",59,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-14,1
"1072","07/14/2014","CHI019","2917 W ROOSEVELT",42,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-14,1
"1092","07/14/2014","CHI045","445 W 127TH",173,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-14,1
"1156","07/15/2014","CHI003","4124 W FOSTER AVE",101,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-15,1
"1158","07/15/2014","CHI005","2080 W PERSHING",65,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-15,1
"1160","07/15/2014","CHI008","3655 W JACKSON",10,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-15,1
"1164","07/15/2014","CHI013","5330 S COTTAGE GROVE",51,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-15,1
"1168","07/15/2014","CHI019","2917 W ROOSEVELT",55,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-15,1
"1188","07/15/2014","CHI045","445 W 127TH",146,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-15,1
"1254","07/16/2014","CHI003","4124 W FOSTER AVE",83,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-16,1
"1256","07/16/2014","CHI005","2080 W PERSHING",45,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-16,1
"1258","07/16/2014","CHI008","3655 W JACKSON",16,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-16,1
"1262","07/16/2014","CHI013","5330 S COTTAGE GROVE",50,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-16,1
"1266","07/16/2014","CHI019","2917 W ROOSEVELT",55,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-16,1
"1286","07/16/2014","CHI045","445 W 127TH",177,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-16,1
"1353","07/17/2014","CHI003","4124 W FOSTER AVE",88,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-17,1
"1355","07/17/2014","CHI005","2080 W PERSHING",33,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-17,1
"1357","07/17/2014","CHI008","3655 W JACKSON",16,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-17,1
"1361","07/17/2014","CHI013","5330 S COTTAGE GROVE",45,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-17,1
"1365","07/17/2014","CHI019","2917 W ROOSEVELT",31,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-17,1
"1384","07/17/2014","CHI045","445 W 127TH",187,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-17,1
"1450","07/18/2014","CHI003","4124 W FOSTER AVE",119,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-18,1
"1452","07/18/2014","CHI005","2080 W PERSHING",46,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-18,1
"1454","07/18/2014","CHI008","3655 W JACKSON",28,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-18,1
"1458","07/18/2014","CHI013","5330 S COTTAGE GROVE",57,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-18,1
"1462","07/18/2014","CHI019","2917 W ROOSEVELT",3,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-18,1
"1477","07/18/2014","CHI045","445 W 127TH",178,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-18,1
"1535","07/19/2014","CHI003","4124 W FOSTER AVE",121,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-19,1
"1537","07/19/2014","CHI005","2080 W PERSHING",32,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-19,1
"1539","07/19/2014","CHI008","3655 W JACKSON",38,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-19,1
"1543","07/19/2014","CHI013","5330 S COTTAGE GROVE",84,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-19,1
"1547","07/19/2014","CHI019","2917 W ROOSEVELT",34,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-19,1
"1555","07/19/2014","CHI045","445 W 127TH",232,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-19,1
"1597","07/20/2014","CHI003","4124 W FOSTER AVE",119,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-20,1
"1599","07/20/2014","CHI005","2080 W PERSHING",31,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-20,1
"1601","07/20/2014","CHI008","3655 W JACKSON",21,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-20,1
"1605","07/20/2014","CHI013","5330 S COTTAGE GROVE",59,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-20,1
"1609","07/20/2014","CHI019","2917 W ROOSEVELT",32,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-20,1
"1617","07/20/2014","CHI045","445 W 127TH",177,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-20,1
"1660","07/21/2014","CHI003","4124 W FOSTER AVE",103,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-21,1
"1662","07/21/2014","CHI005","2080 W PERSHING",41,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-21,1
"1664","07/21/2014","CHI008","3655 W JACKSON",23,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-21,1
"1668","07/21/2014","CHI013","5330 S COTTAGE GROVE",60,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-21,1
"1672","07/21/2014","CHI019","2917 W ROOSEVELT",36,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-21,1
"1691","07/21/2014","CHI045","445 W 127TH",167,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-21,1
"1750","07/22/2014","CHI003","4124 W FOSTER AVE",107,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-22,1
"1752","07/22/2014","CHI005","2080 W PERSHING",42,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-22,1
"1754","07/22/2014","CHI008","3655 W JACKSON",16,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-22,1
"1758","07/22/2014","CHI013","5330 S COTTAGE GROVE",72,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-22,1
"1762","07/22/2014","CHI019","2917 W ROOSEVELT",33,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-22,1
"1781","07/22/2014","CHI045","445 W 127TH",176,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-22,1
"1840","07/23/2014","CHI003","4124 W FOSTER AVE",83,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-23,1
"1842","07/23/2014","CHI005","2080 W PERSHING",35,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-23,1
"1844","07/23/2014","CHI008","3655 W JACKSON",15,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-23,1
"1848","07/23/2014","CHI013","5330 S COTTAGE GROVE",56,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-23,1
"1852","07/23/2014","CHI019","2917 W ROOSEVELT",81,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-23,1
"1872","07/23/2014","CHI045","445 W 127TH",221,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-23,1
"1931","07/24/2014","CHI003","4124 W FOSTER AVE",111,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-24,1
"1933","07/24/2014","CHI005","2080 W PERSHING",38,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-24,1
"1935","07/24/2014","CHI008","3655 W JACKSON",17,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-24,1
"1939","07/24/2014","CHI013","5330 S COTTAGE GROVE",45,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-24,1
"1943","07/24/2014","CHI019","2917 W ROOSEVELT",82,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-24,1
"1960","07/24/2014","CHI045","445 W 127TH",137,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-24,1
"2018","07/25/2014","CHI003","4124 W FOSTER AVE",81,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-25,1
"2020","07/25/2014","CHI005","2080 W PERSHING",35,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-25,1
"2022","07/25/2014","CHI008","3655 W JACKSON",16,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-25,1
"2026","07/25/2014","CHI013","5330 S COTTAGE GROVE",53,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-25,1
"2030","07/25/2014","CHI019","2917 W ROOSEVELT",83,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-25,1
"2042","07/25/2014","CHI045","445 W 127TH",213,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-25,1
"2094","07/26/2014","CHI003","4124 W FOSTER AVE",142,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-26,1
"2096","07/26/2014","CHI005","2080 W PERSHING",33,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-26,1
"2098","07/26/2014","CHI008","3655 W JACKSON",11,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-26,1
"2102","07/26/2014","CHI013","5330 S COTTAGE GROVE",97,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-26,1
"2106","07/26/2014","CHI019","2917 W ROOSEVELT",73,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-26,1
"2115","07/26/2014","CHI045","445 W 127TH",250,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-26,1
"2157","07/27/2014","CHI003","4124 W FOSTER AVE",146,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-27,1
"2159","07/27/2014","CHI005","2080 W PERSHING",34,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-27,1
"2161","07/27/2014","CHI008","3655 W JACKSON",15,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-27,1
"2165","07/27/2014","CHI013","5330 S COTTAGE GROVE",95,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-27,1
"2169","07/27/2014","CHI019","2917 W ROOSEVELT",49,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-27,1
"2178","07/27/2014","CHI045","445 W 127TH",246,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-27,1
"2219","07/28/2014","CHI003","4124 W FOSTER AVE",100,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-28,1
"2221","07/28/2014","CHI005","2080 W PERSHING",41,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-28,1
"2223","07/28/2014","CHI008","3655 W JACKSON",16,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-28,1
"2227","07/28/2014","CHI013","5330 S COTTAGE GROVE",61,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-28,1
"2231","07/28/2014","CHI019","2917 W ROOSEVELT",74,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-28,1
"2248","07/28/2014","CHI045","445 W 127TH",166,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-28,1
"2306","07/29/2014","CHI003","4124 W FOSTER AVE",98,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-29,1
"2308","07/29/2014","CHI005","2080 W PERSHING",46,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-29,1
"2310","07/29/2014","CHI008","3655 W JACKSON",23,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-29,1
"2314","07/29/2014","CHI013","5330 S COTTAGE GROVE",46,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-29,1
"2318","07/29/2014","CHI019","2917 W ROOSEVELT",75,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-29,1
"2335","07/29/2014","CHI045","445 W 127TH",147,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-29,1
"2379","07/30/2014","CHI003","4124 W FOSTER AVE",95,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-30,1
"2381","07/30/2014","CHI005","2080 W PERSHING",31,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-30,1
"2383","07/30/2014","CHI008","3655 W JACKSON",15,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-30,1
"2387","07/30/2014","CHI013","5330 S COTTAGE GROVE",47,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-30,1
"2391","07/30/2014","CHI019","2917 W ROOSEVELT",85,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-30,1
"2408","07/30/2014","CHI045","445 W 127TH",172,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-30,1
"2451","07/31/2014","CHI003","4124 W FOSTER AVE",124,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-07-31,1
"2453","07/31/2014","CHI005","2080 W PERSHING",40,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-07-31,1
"2455","07/31/2014","CHI008","3655 W JACKSON",15,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-07-31,1
"2459","07/31/2014","CHI013","5330 S COTTAGE GROVE",77,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-07-31,1
"2463","07/31/2014","CHI019","2917 W ROOSEVELT",72,41.866364,-87.699143,"(41.866364, -87.699143)",2014-07-31,1
"2480","07/31/2014","CHI045","445 W 127TH",177,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-07-31,1
"2525","08/01/2014","CHI003","4124 W FOSTER AVE",112,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-08-01,1
"2527","08/01/2014","CHI005","2080 W PERSHING",70,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-08-01,1
"2529","08/01/2014","CHI008","3655 W JACKSON",22,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-08-01,1
"2533","08/01/2014","CHI013","5330 S COTTAGE GROVE",72,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-08-01,1
"2537","08/01/2014","CHI019","2917 W ROOSEVELT",93,41.866364,-87.699143,"(41.866364, -87.699143)",2014-08-01,1
"2546","08/01/2014","CHI045","445 W 127TH",174,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-08-01,1
"2589","08/02/2014","CHI003","4124 W FOSTER AVE",173,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-08-02,1
"2591","08/02/2014","CHI005","2080 W PERSHING",43,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-08-02,1
"2593","08/02/2014","CHI008","3655 W JACKSON",15,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-08-02,1
"2597","08/02/2014","CHI013","5330 S COTTAGE GROVE",67,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-08-02,1
"2601","08/02/2014","CHI019","2917 W ROOSEVELT",80,41.866364,-87.699143,"(41.866364, -87.699143)",2014-08-02,1
"2610","08/02/2014","CHI045","445 W 127TH",260,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-08-02,1
"2652","08/03/2014","CHI003","4124 W FOSTER AVE",143,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-08-03,1
"2654","08/03/2014","CHI005","2080 W PERSHING",41,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-08-03,1
"2656","08/03/2014","CHI008","3655 W JACKSON",20,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-08-03,1
"2660","08/03/2014","CHI013","5330 S COTTAGE GROVE",55,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-08-03,1
"2664","08/03/2014","CHI019","2917 W ROOSEVELT",45,41.866364,-87.699143,"(41.866364, -87.699143)",2014-08-03,1
"2673","08/03/2014","CHI045","445 W 127TH",179,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2014-08-03,1
"2714","08/04/2014","CHI003","4124 W FOSTER AVE",91,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2014-08-04,1
"2716","08/04/2014","CHI005","2080 W PERSHING",47,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2014-08-04,1
"2718","08/04/2014","CHI008","3655 W JACKSON",15,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2014-08-04,1
"2722","08/04/2014","CHI013","5330 S COTTAGE GROVE",46,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2014-08-04,1
"2726","08/04/2014","CHI019","2917 W ROOSEVELT",71,41.866364,-87.699143,"(41.866364, -87.699143)",2014-08-04,1
